time,current_0,voltage_0,current_1,voltage_1
0.00000000e+00,45.11131685,5.35373250e+01,5.63891461,4.2298600e+02
9.78473581e-09,41.88264715,5.03530270e+01,5.23533089,4.02824216e02
1.95694716e-08,38.05237568,4.98778770e+01,4.75654696,3.99023016e+02
2.93542074e-08,39.23484065,5.05390666e+01,4.90435508,4.04312533e+02
3.91389432e-08,41.16399375,4.99753020e+01,5.14549922,3.99802416e+02
4.89236791e-08,43.48756042,4.91660866e+01,5.43594505,3.93328693e+02
5.87084149e-08,42.66868175,4.99086410e+01,5.33358522,3.99269128e+02
6.84931507e-08,41.13783273,5.03516028e+01,5.14222909,4.02812822e+02
7.82778865e-08,43.31352132,5.03967695e+01,5.41419016,4.03174156e+02
8.80626223e-08,43.78624267,5.02633341e+01,5.47328033,4.02106673e+02
9.78473581e-08,41.7810321,4.96688474e+01,5.22262901,3.97350779e+02
1.07632094e-07,43.23601409,4.94631243e+01,5.40450176,3.95704995e+02
1.17416830e-07,44.76837552,4.94559228e+01,5.59604694,3.95647382e+02
1.27201566e-07,44.36232013,5.02095232e+01,5.54529002,4.01676185e+02
1.36986301e-07,43.70861727,5.09932997e+01,5.46357716,4.07946398e+02
1.46771037e-07,45.14603744,4.98623298e+01,5.64325468,3.98898638e+02
1.56555773e-07,45.31888105,5.06336125e+01,5.66486013,4.05068900e+02
1.66340509e-07,46.12959937,4.97749350e+01,5.76619992,3.98199480e+02
1.76125245e-07,45.81903086,4.99873519e+01,5.72737886,3.99898815e+02
1.85909980e-07,45.49621007,4.95246950e+01,5.68702626,3.96197560e+02
1.95694716e-07,47.39364518,5.03656230e+01,5.92420565,4.02924984e+02
2.05479452e-07,45.54995606,5.00637555e+01,5.69374451,4.00510044e+02
2.15264188e-07,45.95208936,5.01289152e+01,5.74401117,4.01031322e+02
2.25048924e-07,46.3397112,5.00646178e+01,5.7924639,4.00516942e+02
2.34833659e-07,46.96489117,5.01974051e+01,5.8706114,4.01579241e+02
2.44618395e-07,49.91225505,4.92249944e+01,6.23903188,3.93799956e+02
2.54403131e-07,49.65118388,5.04278437e+01,6.20639798,4.03422749e+02
2.64187867e-07,48.16966973,5.03459713e+01,6.02120872,4.02767770e+02
2.73972603e-07,49.75601144,5.04317295e+01,6.21950143,4.03453836e+02
2.83757339e-07,49.80214112,4.98258698e+01,6.22526764,3.98606959e+02
2.93542074e-07,49.01040799,5.02343217e+01,6.126301,4.01874573e+02
3.03326810e-07,49.40944578,5.00277302e+01,6.17618072,4.00221841e+02
3.13111546e-07,51.21662359,5.03921739e+01,6.40207795,4.03137391e+02
